"","source","id","type","date","year","decade","lat","lon","source2","type_gbif","state","acceptedNameUsage","accessRights","adm1","adm2","associatedOccurrences","associatedReferences","associatedSequences","associatedTaxa","basisOfRecord","bed","behavior","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","country","crawlId","created","dataGeneralizations","datasetID","datasetKey","datasetName","dateIdentified","day","depth","depthAccuracy","disposition","dynamicProperties","earliestAgeOrLowestStage","earliestEonOrLowestEonothem","earliestEpochOrLowestSeries","earliestEraOrLowestErathem","earliestPeriodOrLowestSystem","elevation","elevationAccuracy","endDayOfYear","establishmentMeans","eventDate","eventID","eventRemarks","eventTime","family","familyKey","fieldNotes","fieldNumber","formation","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","geologicalContextID","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceRemarks","georeferenceSources","georeferenceVerificationStatus","group","habitat","higherClassification","higherGeography","highestBiostratigraphicZone","http...unknown.org.classs","http...unknown.org.http_..rs.gbif.org.terms.1.0.Identifier","http...unknown.org.http_..rs.gbif.org.terms.1.0.Multimedia","http...unknown.org.http_..rs.tdwg.org.dwc.terms.Identification","http...unknown.org.http_..rs.tdwg.org.dwc.terms.MeasurementOrFact","http...unknown.org.http_..rs.tdwg.org.dwc.terms.ResourceRelationship","http...unknown.org.occurrenceDetails","identificationID","identificationQualifier","identificationRemarks","identificationVerificationStatus","identifiedBy","identifier","individualCount","informationWithheld","infraspecificEpithet","institutionCode","institutionID","island","islandGroup","ISO2","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","latestAgeOrHighestStage","latestEonOrHighestEonothem","latestEpochOrHighestSeries","latestEraOrHighestErathem","latestPeriodOrHighestSystem","license","lifeStage","lithostratigraphicTerms","locality","locationAccordingTo","locationID","locationRemarks","lowestBiostratigraphicZone","member","modified","month","municipality","nameAccordingTo","namePublishedInYear","nomenclaturalCode","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismID","otherCatalogNumbers","ownerInstitutionCode","parentNameUsage","phylum","phylumKey","preparations","previousIdentifications","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","reproductiveCondition","rights","rightsHolder","samplingEffort","samplingProtocol","scientificName","scientificNameID","sex","species","speciesKey","specificEpithet","startDayOfYear","taxonConceptID","taxonID","taxonKey","taxonomicStatus","taxonRank","taxonRemarks","typeStatus","typifiedName","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimLocality","verbatimSRS","verbatimTaxonRank","vernacularName","waterBody","downloadDate"
"70","GBIF","GBIF1","sighting",2018-04-01,2018,"2010s",47.036161,-117.283865,"iNaturalist",NA,"Washington",NA,NA,NA,NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,NA,"12582055","Mammalia",359,"United States","Observations",NA,NA,NA,15,"United States",115,NA,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2018-05-18T18:15:14.000+0000",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2018-04-01T08:36:00.000+0000",NA,NA,"15:36:00Z","Erethizontidae",5498,NA,NA,NA,"United States",1847549215,"Erethizon","Erethizon",2437593,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[ {
  ""http://purl.org/dc/terms/identifier"" : ""https://static.inaturalist.org/photos/18183065/original.jpeg?1526667249"",
  ""http://purl.org/dc/terms/license"" : ""http://creativecommons.org/licenses/by-nc/4.0/"",
  ""http://purl.org/dc/terms/publisher"" : ""iNaturalist"",
  ""http://rs.tdwg.org/dwc/terms/catalogNumber"" : ""18183065"",
  ""http://purl.org/dc/terms/created"" : ""2018-04-01T08:36:30-07:00"",
  ""http://purl.org/dc/terms/rightsHolder"" : ""Peter Olsoy"",
  ""http://purl.org/dc/terms/creator"" : ""Peter Olsoy"",
  ""http://purl.org/dc/terms/format"" : ""image/jpeg"",
  ""http://purl.org/dc/terms/type"" : ""StillImage"",
  ""http://purl.org/dc/terms/references"" : ""https://www.inaturalist.org/photos/18183065""
}, {
  ""http://purl.org/dc/terms/identifier"" : ""https://static.inaturalist.org/photos/18184174/original.jpeg?1526668573"",
  ""http://purl.org/dc/terms/license"" : ""http://creativecommons.org/licenses/by-nc/4.0/"",
  ""http://purl.org/dc/terms/publisher"" : ""iNaturalist"",
  ""http://rs.tdwg.org/dwc/terms/catalogNumber"" : ""18184174"",
  ""http://purl.org/dc/terms/created"" : ""2018-04-01T08:37:11-07:00"",
  ""http://purl.org/dc/terms/rightsHolder"" : ""Peter Olsoy"",
  ""http://purl.org/dc/terms/creator"" : ""Peter Olsoy"",
  ""http://purl.org/dc/terms/format"" : ""image/jpeg"",
  ""http://purl.org/dc/terms/type"" : ""StillImage"",
  ""http://purl.org/dc/terms/references"" : ""https://www.inaturalist.org/photos/18184174""
} ]",NA,NA,NA,"https://www.inaturalist.org/observations/12582055",27449078,NA,NA,NA,NA,"12582055",NA,NA,NA,"iNaturalist",NA,NA,NA,"US",1847549215,"Animalia",1,NA,"2018-06-20T17:35:26.374+0000","2018-05-31T15:25:04.096+0000","2018-05-31T15:22:41.771+0000",NA,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,NA,NA,NA,NA,"2018-05-18T18:36:18.000+0000",4,NA,NA,NA,NA,"https://www.inaturalist.org/observations/12582055",NA,NA,"Rodentia",1459,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Peter Olsoy",NA,"https://www.inaturalist.org/observations/12582055",NA,"© Peter Olsoy some rights reserved","Peter Olsoy",NA,NA,"Erethizon dorsatus (Linnaeus, 1758)",NA,NA,"Erethizon dorsatus",6066824,"dorsatus",NA,NA,"44026",6066824,NA,"SPECIES",NA,NA,NA,NA,NA,"2018/04/01 8:36 AM PDT","Whitman County, WA, USA",NA,NA,NA,NA,"2018-06-20"
"237","GBIF","GBIF2","sighting",2017-03-26,2017,"2010s",47.609266,-117.524303,"iNaturalist",NA,"Washington",NA,NA,NA,NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,NA,"5667717","Mammalia",359,"United States","Observations",NA,NA,NA,15,"United States",115,NA,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2017-04-12T22:20:11.000+0000",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-03-26T11:19:00.000+0000",NA,NA,"17:19:00Z","Erethizontidae",5498,NA,NA,NA,"United States",1457639251,"Erethizon","Erethizon",2437593,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[ {
  ""http://purl.org/dc/terms/creator"" : ""corvillbirdy"",
  ""http://rs.tdwg.org/dwc/terms/catalogNumber"" : ""7016999"",
  ""http://purl.org/dc/terms/publisher"" : ""iNaturalist"",
  ""http://purl.org/dc/terms/created"" : ""2017-03-26T17:19:00Z"",
  ""http://purl.org/dc/terms/identifier"" : ""https://static.inaturalist.org/photos/7016999/original.jpg?1492035553"",
  ""http://purl.org/dc/terms/rightsHolder"" : ""corvillbirdy"",
  ""http://purl.org/dc/terms/references"" : ""https://www.inaturalist.org/photos/7016999"",
  ""http://purl.org/dc/terms/type"" : ""StillImage"",
  ""http://purl.org/dc/terms/license"" : ""http://creativecommons.org/licenses/by-nc/4.0/"",
  ""http://purl.org/dc/terms/format"" : ""image/jpeg""
} ]",NA,NA,NA,"https://www.inaturalist.org/observations/5667717",11734844,NA,NA,NA,NA,"5667717",NA,NA,NA,"iNaturalist",NA,NA,NA,"US",1457639251,"Animalia",1,NA,"2018-06-20T17:42:48.202+0000","2018-02-04T00:27:32.422+0000","2018-01-11T08:36:36.923+0000",NA,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,NA,NA,NA,NA,"2017-04-15T05:28:07.000+0000",3,NA,NA,NA,NA,"https://www.inaturalist.org/observations/5667717",NA,NA,"Rodentia",1459,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","corvillbirdy",NA,"https://www.inaturalist.org/observations/5667717",NA,"© corvillbirdy some rights reserved","corvillbirdy",NA,NA,"Erethizon dorsatus (Linnaeus, 1758)",NA,NA,"Erethizon dorsatus",6066824,"dorsatus",NA,NA,"44026",6066824,NA,"SPECIES",NA,NA,NA,NA,NA,"2017/03/26 11:19 AM MDT","Spokane County, WA, USA",NA,NA,NA,NA,"2018-06-20"
"350","GBIF","GBIF3","sighting",2017-07-18,2017,"2010s",47.666955,-117.399398,"iNaturalist",NA,"Washington",NA,NA,NA,NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,NA,"7238650","Mammalia",359,"United States","Observations",NA,NA,NA,NA,"United States",115,NA,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2017-07-27T22:09:49.000+0000",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-07-18T15:32:22.000+0000",NA,NA,"22:32:22Z","Erethizontidae",5498,NA,NA,NA,"United States",1584434067,"Erethizon","Erethizon",2437593,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[ {
  ""http://purl.org/dc/terms/creator"" : ""Gary Chang"",
  ""http://rs.tdwg.org/dwc/terms/catalogNumber"" : ""9349171"",
  ""http://purl.org/dc/terms/publisher"" : ""iNaturalist"",
  ""http://purl.org/dc/terms/created"" : ""2017-07-18T15:32:22-07:00"",
  ""http://purl.org/dc/terms/identifier"" : ""https://static.inaturalist.org/photos/9349171/original.jpg?1501193383"",
  ""http://purl.org/dc/terms/rightsHolder"" : ""Gary Chang"",
  ""http://purl.org/dc/terms/references"" : ""https://www.flickr.com/photos/gcchang/36028162065/"",
  ""http://purl.org/dc/terms/type"" : ""StillImage"",
  ""http://purl.org/dc/terms/license"" : ""http://creativecommons.org/licenses/by-nc-sa/4.0/"",
  ""http://purl.org/dc/terms/format"" : ""image/jpeg""
} ]",NA,NA,NA,"https://www.inaturalist.org/observations/7238650",15016437,NA,NA,NA,NA,"7238650",NA,NA,NA,"iNaturalist",NA,NA,NA,"US",1584434067,"Animalia",1,NA,"2018-06-20T17:45:01.612+0000","2018-02-03T04:55:52.485+0000","2018-01-11T08:40:53.892+0000",NA,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,NA,NA,NA,NA,"2017-07-29T21:04:38.000+0000",7,NA,NA,NA,NA,"https://www.inaturalist.org/observations/7238650","Resting in a tree",NA,"Rodentia",1459,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Gary Chang",NA,"https://www.inaturalist.org/observations/7238650",NA,"© Gary Chang some rights reserved","Gary Chang",NA,NA,"Erethizon dorsatus (Linnaeus, 1758)",NA,NA,"Erethizon dorsatus",6066824,"dorsatus",NA,NA,"44026",6066824,NA,"SPECIES",NA,NA,NA,NA,NA,"2017-07-18 15:32:22","Spokane, Washington, United States",NA,NA,NA,NA,"2018-06-20"
"362","GBIF","GBIF4","roadkill",2017-07-31,2017,"2010s",46.611055,-119.218511,"iNaturalist",NA,"Washington",NA,NA,NA,NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,NA,"7298589","Mammalia",359,"United States","Observations",NA,NA,NA,15,"United States",115,NA,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2017-07-31T22:19:45.000+0000",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-07-31T14:26:05.000+0000",NA,NA,"21:26:05Z","Erethizontidae",5498,NA,NA,NA,"United States",1586116543,"Erethizon","Erethizon",2437593,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[ {
  ""http://purl.org/dc/terms/creator"" : ""Joshua"",
  ""http://rs.tdwg.org/dwc/terms/catalogNumber"" : ""9499903"",
  ""http://purl.org/dc/terms/publisher"" : ""iNaturalist"",
  ""http://purl.org/dc/terms/created"" : ""2017-07-31T14:26:05-07:00"",
  ""http://purl.org/dc/terms/identifier"" : ""https://static.inaturalist.org/photos/9499903/original.jpeg?1501768513"",
  ""http://purl.org/dc/terms/rightsHolder"" : ""Joshua"",
  ""http://purl.org/dc/terms/references"" : ""https://www.inaturalist.org/photos/9499903"",
  ""http://purl.org/dc/terms/type"" : ""StillImage"",
  ""http://purl.org/dc/terms/license"" : ""http://creativecommons.org/licenses/by-nc/4.0/"",
  ""http://purl.org/dc/terms/format"" : ""image/jpeg""
} ]",NA,NA,NA,"https://www.inaturalist.org/observations/7298589",15170056,NA,NA,NA,NA,"7298589",NA,NA,NA,"iNaturalist",NA,NA,NA,"US",1586116543,"Animalia",1,NA,"2018-06-20T17:45:07.677+0000","2018-02-03T04:54:37.309+0000","2018-01-11T08:41:03.538+0000",NA,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,NA,NA,NA,NA,"2017-08-05T13:42:05.000+0000",7,NA,NA,NA,NA,"https://www.inaturalist.org/observations/7298589","Roadkill.",NA,"Rodentia",1459,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Joshua",NA,"https://www.inaturalist.org/observations/7298589",NA,"© Joshua some rights reserved","Joshua",NA,NA,"Erethizon dorsatus (Linnaeus, 1758)",NA,NA,"Erethizon dorsatus",6066824,"dorsatus",NA,NA,"44026",6066824,NA,"SPECIES",NA,NA,NA,NA,NA,"2017-07-31 2:26:05 PM PDT","Franklin County, US-WA, US",NA,NA,NA,NA,"2018-06-20"
"390","GBIF","GBIF5","roadkill",2017-09-28,2017,"2010s",45.75064,-120.65571,"iNaturalist",NA,"Washington",NA,NA,NA,NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,NA,"8589137","Mammalia",359,"United States","Observations",NA,NA,NA,11,"United States",115,NA,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2017-10-28T17:26:07.000+0000",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-09-28T09:23:21.000+0000",NA,NA,"16:23:21Z","Erethizontidae",5498,NA,NA,NA,"United States",1699373576,"Erethizon","Erethizon",2437593,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[ {
  ""http://purl.org/dc/terms/creator"" : ""Patrick Kleeman"",
  ""http://rs.tdwg.org/dwc/terms/catalogNumber"" : ""11479307"",
  ""http://purl.org/dc/terms/publisher"" : ""iNaturalist"",
  ""http://purl.org/dc/terms/created"" : ""2017-09-28T16:23:21Z"",
  ""http://purl.org/dc/terms/identifier"" : ""https://static.inaturalist.org/photos/11479307/original.jpg?1509211636"",
  ""http://purl.org/dc/terms/rightsHolder"" : ""Patrick Kleeman"",
  ""http://purl.org/dc/terms/references"" : ""https://www.inaturalist.org/photos/11479307"",
  ""http://purl.org/dc/terms/type"" : ""StillImage"",
  ""http://purl.org/dc/terms/license"" : ""http://creativecommons.org/licenses/by-nc/4.0/"",
  ""http://purl.org/dc/terms/format"" : ""image/jpeg""
} ]",NA,NA,NA,"https://www.inaturalist.org/observations/8589137",18257535,NA,NA,NA,NA,"8589137",NA,NA,NA,"iNaturalist",NA,NA,NA,"US",1699373576,"Animalia",1,NA,"2018-06-20T17:46:51.519+0000","2018-02-02T20:44:36.648+0000","2018-01-11T08:56:45.472+0000",NA,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-29T18:54:38.000+0000",9,NA,NA,NA,NA,"https://www.inaturalist.org/observations/8589137","Possibly more than one animal; hard to tell from the state of the carcass.",NA,"Rodentia",1459,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Patrick Kleeman",NA,"https://www.inaturalist.org/observations/8589137",NA,"© Patrick Kleeman some rights reserved","Patrick Kleeman",NA,NA,"Erethizon dorsatus (Linnaeus, 1758)",NA,NA,"Erethizon dorsatus",6066824,"dorsatus",NA,NA,"44026",6066824,NA,"SPECIES",NA,NA,NA,NA,NA,"Thu Sep 28 2017 09:23:21 GMT-0700 (PDT)","10942–11148 Highway 14, Goldendale, WA, US",NA,NA,NA,NA,"2018-06-20"
"407","GBIF","GBIF6","sighting",2017-10-14,2017,"2010s",46.286542,-124.06263,"iNaturalist",NA,"Washington",NA,NA,NA,NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,NA,"8480518","Mammalia",359,"United States","Observations",NA,NA,NA,2809,"United States",115,NA,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2017-10-20T19:27:13.000+0000",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-14T15:39:00.000+0000",NA,NA,"22:39:00Z","Erethizontidae",5498,NA,NA,NA,"United States",1677325357,"Erethizon","Erethizon",2437593,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[ ]",NA,NA,NA,"https://www.inaturalist.org/observations/8480518",17989068,NA,NA,NA,NA,"8480518",NA,NA,NA,"iNaturalist",NA,NA,NA,"US",1677325357,"Animalia",1,NA,"2018-06-20T17:46:42.184+0000","2018-04-09T19:02:39.462+0000","2018-04-09T19:02:39.219+0000",NA,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,NA,NA,NA,NA,"2018-03-31T14:59:48.000+0000",10,NA,NA,NA,NA,"https://www.inaturalist.org/observations/8480518","Cape Disappointment",NA,"Rodentia",1459,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","asemerdj",NA,"https://www.inaturalist.org/observations/8480518",NA,"© asemerdj some rights reserved","asemerdj",NA,NA,"Erethizon dorsatus (Linnaeus, 1758)",NA,NA,"Erethizon dorsatus",6066824,"dorsatus",NA,NA,"44026",6066824,NA,"SPECIES",NA,NA,NA,NA,NA,"2017/10/14 3:39 PM PDT","Cape Disappointment State Park, OR",NA,NA,NA,NA,"2018-06-20"
"421","GBIF","GBIF7","sighting",2017-10-15,2017,"2010s",47.792328,-117.531213,"iNaturalist",NA,"Washington",NA,NA,NA,NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,NA,"8421070","Mammalia",359,"United States","Observations",NA,NA,NA,14,"United States",115,NA,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2017-10-16T00:54:42.000+0000",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-15T14:40:00.000+0000",NA,NA,"21:40:00Z","Erethizontidae",5498,NA,NA,NA,"United States",1677305841,"Erethizon","Erethizon",2437593,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[ {
  ""http://purl.org/dc/terms/references"" : ""https://www.inaturalist.org/photos/11211301"",
  ""http://rs.tdwg.org/dwc/terms/catalogNumber"" : ""11211301"",
  ""http://purl.org/dc/terms/creator"" : ""Curtis Mahon"",
  ""http://purl.org/dc/terms/format"" : ""image/jpeg"",
  ""http://purl.org/dc/terms/type"" : ""StillImage"",
  ""http://purl.org/dc/terms/identifier"" : ""https://static.inaturalist.org/photos/11211301/original.jpeg?1508114840"",
  ""http://purl.org/dc/terms/publisher"" : ""iNaturalist"",
  ""http://purl.org/dc/terms/rightsHolder"" : ""Curtis Mahon"",
  ""http://purl.org/dc/terms/created"" : ""2017-10-15T14:40:32-07:00"",
  ""http://purl.org/dc/terms/license"" : ""http://creativecommons.org/licenses/by-nc/4.0/""
} ]",NA,NA,NA,"https://www.inaturalist.org/observations/8421070",17846485,NA,NA,NA,NA,"8421070",NA,NA,NA,"iNaturalist",NA,NA,NA,"US",1677305841,"Animalia",1,NA,"2018-06-20T17:46:37.096+0000","2018-02-15T09:25:41.987+0000","2018-02-15T09:25:41.974+0000",NA,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,NA,NA,NA,NA,"2018-02-07T18:07:47.000+0000",10,NA,NA,NA,NA,"https://www.inaturalist.org/observations/8421070",NA,NA,"Rodentia",1459,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Curtis Mahon",NA,"https://www.inaturalist.org/observations/8421070",NA,"© Curtis Mahon some rights reserved","Curtis Mahon",NA,NA,"Erethizon dorsatus (Linnaeus, 1758)",NA,NA,"Erethizon dorsatus",6066824,"dorsatus",NA,NA,"44026",6066824,NA,"SPECIES",NA,NA,NA,NA,NA,"2017/10/15 2:40 PM PDT","Spokane County, WA, USA",NA,NA,NA,NA,"2018-06-20"
"423","GBIF","GBIF8","roadkill",2017-10-01,2017,"2010s",46.545915,-117.887359,"iNaturalist",NA,"Washington",NA,NA,NA,NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,NA,"8589219","Mammalia",359,"United States","Observations",NA,NA,NA,11,"United States",115,NA,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2017-10-28T17:34:13.000+0000",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-01T16:24:48.000+0000",NA,NA,"23:24:48Z","Erethizontidae",5498,NA,NA,NA,"United States",1699373750,"Erethizon","Erethizon",2437593,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[ {
  ""http://purl.org/dc/terms/creator"" : ""Patrick Kleeman"",
  ""http://rs.tdwg.org/dwc/terms/catalogNumber"" : ""11479432"",
  ""http://purl.org/dc/terms/publisher"" : ""iNaturalist"",
  ""http://purl.org/dc/terms/created"" : ""2017-10-01T23:24:48Z"",
  ""http://purl.org/dc/terms/identifier"" : ""https://static.inaturalist.org/photos/11479432/original.jpg?1509212080"",
  ""http://purl.org/dc/terms/rightsHolder"" : ""Patrick Kleeman"",
  ""http://purl.org/dc/terms/references"" : ""https://www.inaturalist.org/photos/11479432"",
  ""http://purl.org/dc/terms/type"" : ""StillImage"",
  ""http://purl.org/dc/terms/license"" : ""http://creativecommons.org/licenses/by-nc/4.0/"",
  ""http://purl.org/dc/terms/format"" : ""image/jpeg""
} ]",NA,NA,NA,"https://www.inaturalist.org/observations/8589219",18257767,NA,NA,NA,NA,"8589219",NA,NA,NA,"iNaturalist",NA,NA,NA,"US",1699373750,"Animalia",1,NA,"2018-06-20T17:46:51.527+0000","2018-02-02T20:44:34.781+0000","2018-01-11T08:56:45.581+0000",NA,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,NA,NA,NA,NA,"2017-10-29T18:53:04.000+0000",10,NA,NA,NA,NA,"https://www.inaturalist.org/observations/8589219",NA,NA,"Rodentia",1459,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Patrick Kleeman",NA,"https://www.inaturalist.org/observations/8589219",NA,"© Patrick Kleeman some rights reserved","Patrick Kleeman",NA,NA,"Erethizon dorsatus (Linnaeus, 1758)",NA,NA,"Erethizon dorsatus",6066824,"dorsatus",NA,NA,"44026",6066824,NA,"SPECIES",NA,NA,NA,NA,NA,"Sun Oct 01 2017 16:24:48 GMT-0700 (PDT)","38100–38132 US Highway 12, Dayton, WA, US",NA,NA,NA,NA,"2018-06-20"
"428","GBIF","GBIF9","sighting",2017-11-18,2017,"2010s",47.414707,-117.53161,"iNaturalist",NA,"Washington",NA,NA,NA,NA,NA,NA,NA,NA,"HUMAN_OBSERVATION",NA,NA,NA,"9713449","Mammalia",359,"United States","Observations",NA,NA,NA,15,"United States",115,NA,NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","iNaturalist research-grade observations","2018-02-03T05:25:11.000+0000",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2017-11-18T16:25:00.000+0000",NA,NA,"21:25:00Z","Erethizontidae",5498,NA,NA,NA,"United States",1807301787,"Erethizon","Erethizon",2437593,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"[ {
  ""http://purl.org/dc/terms/creator"" : ""Ken Rosenthal"",
  ""http://rs.tdwg.org/dwc/terms/catalogNumber"" : ""13284299"",
  ""http://purl.org/dc/terms/rightsHolder"" : ""Ken Rosenthal"",
  ""http://purl.org/dc/terms/references"" : ""https://www.inaturalist.org/photos/13284299"",
  ""http://purl.org/dc/terms/format"" : ""image/jpeg"",
  ""http://purl.org/dc/terms/publisher"" : ""iNaturalist"",
  ""http://purl.org/dc/terms/created"" : ""2017-11-18T16:25:45-08:00"",
  ""http://purl.org/dc/terms/identifier"" : ""https://static.inaturalist.org/photos/13284299/original.jpg?1517635153"",
  ""http://purl.org/dc/terms/license"" : ""http://creativecommons.org/licenses/by-nc/4.0/"",
  ""http://purl.org/dc/terms/type"" : ""StillImage""
} ]",NA,NA,NA,"https://www.inaturalist.org/observations/9713449",21371754,NA,NA,NA,NA,"9713449",NA,NA,NA,"iNaturalist",NA,NA,NA,"US",1807301787,"Animalia",1,NA,"2018-06-20T17:48:33.551+0000","2018-05-09T03:27:00.651+0000","2018-05-09T03:27:00.638+0000",NA,NA,NA,NA,NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",NA,NA,NA,NA,NA,NA,NA,NA,"2018-05-03T23:13:57.000+0000",11,NA,NA,NA,NA,"https://www.inaturalist.org/observations/9713449",NA,NA,"Rodentia",1459,NA,NA,NA,NA,"Chordata",44,NA,NA,"DWC_ARCHIVE","US","28eb1a3f-1c15-4a95-931a-4af90ecb574d","Ken Rosenthal",NA,"https://www.inaturalist.org/observations/9713449",NA,"© Ken Rosenthal some rights reserved","Ken Rosenthal",NA,NA,"Erethizon dorsatus (Linnaeus, 1758)",NA,NA,"Erethizon dorsatus",6066824,"dorsatus",NA,NA,"44026",6066824,NA,"SPECIES",NA,NA,NA,NA,NA,"2017/11/18 4:25 PM EST","Spokane County, WA, USA",NA,NA,NA,NA,"2018-06-20"
